Date,Time,Incident Type,Location,Coordinates
2025-03-21,23:02:50,Woman Alone at Night,Mīthepur,"[28.4974, 77.3186]"
2025-03-21,23:02:51,Woman Alone at Night,Mīthepur,"[28.4974, 77.3186]"
2025-03-21,23:02:52,Woman Alone at Night,Mīthepur,"[28.4974, 77.3186]"
2025-03-21,23:02:52,Woman Alone at Night,Mīthepur,"[28.4974, 77.3186]"
2025-03-21,23:02:53,Woman Alone at Night,Mīthepur,"[28.4974, 77.3186]"
2025-03-21,23:02:59,SOS Gesture Detected,Mīthepur,"[28.4974, 77.3186]"
2025-03-21,23:02:59,SOS Gesture Detected,Mīthepur,"[28.4974, 77.3186]"
2025-03-21,23:03:00,SOS Gesture Detected,Mīthepur,"[28.4974, 77.3186]"
2025-03-21,23:03:00,SOS Gesture Detected,Mīthepur,"[28.4974, 77.3186]"
2025-03-21,23:03:01,Woman Alone at Night,Mīthepur,"[28.4974, 77.3186]"
